country,area
russia,17098246
canada,9984670
china,9572900
usa,9525067
brazil,8515767
australia,7692024
india,3287263
argentina,2780400
kazakhstan,2724900
algeria,2381740
democratic republic of the congo,2345410
denmark,43098
faroe islands,1399
greenland,2166086
saudi arabia,2149690
mexico,1964375
indonesia,1904556
sudan,1861484
libya,1759540
iran,1648000
mongolia,1565000
peru,1285220
chad,1284000
niger,1267000
angola,1246700
mali,1240000
south africa,1219912
colombia,1197411
ethiopia,1127127
bolivia,1098580
mauritania,1030700
egypt,1001450
tanzania,945087
nigeria,923768
venezuela,912050
namibia,825418
pakistan,803940
mozambique,801590
turkey,780580
chile,756950
zambia,752614
myanmar (burma),678500
france,675417
afghanistan,647500
somalia,637657
central african republic,622984
south sudan,619745
ukraine,603628
botswana,600370
madagascar,587040
kenya,580367
yemen,527970
thailand,514000
spain,504781
turkmenistan,488100
cameroon,475440
papua new guinea,462840
sweden,449964
uzbekistan,447400
morocco,446550
iraq,437072
paraguay,406750
zimbabwe,390580
japan,377835
germany,357021
republic of the congo,342000
finland,337030
malaysia,329750
vietnam,329560
norway,324220
ivory coast,322460
poland,312685
oman,309500
italy,301230
philippines,300000
ecuador,283560
burkina faso,274200
new zealand,269190
gabon,267667
guinea,245857
united kingdom,243610
uganda,241550
ghana,238540
romania,238391
laos,236800
guyana,214970
belarus,207600
kyrgyzstan,198500
senegal,196190
syria,185180
cambodia,181035
uruguay,176220
tunisia,163610
suriname,163270
bangladesh,147570
nepal,147181
tajikistan,143100
greece,131940
nicaragua,129494
eritrea,121320
north korea,120540
malawi,118480
benin,112620
honduras,112090
liberia,111370
bulgaria,110910
cuba,109886
guatemala,108890
iceland,103000
south korea,98480
hungary,93030
jordan,92300
portugal,88267
azores islands,2247
serbia,88361
azerbaijan,86600
austria,83858
united arab emirates,82880
czech republic,78867
panama,78201
sierra leone,72740
ireland,71273
georgia,69701
sri lanka,65611
lithuania,65201
latvia,64589
togo,56785
croatia,56542
bosnia and herzegovina,51129
costa rica,51100
slovakia,48845
dominican republic,48730
bhutan,47000
estonia,45339
netherlands,41526
aruba,193
netherlands antilles,960
switzerland,41210
guinea-bissau,36120
republic of china,35980
moldova,33843
belgium,32545
lesotho,30355
armenia,29800
albania,28748
solomon islands,28450
equatorial guinea,28051
burundi,27834
haiti,27750
israel,26990
rwanda,26338
macedonia,25333
belize,22966
djibouti,22000
el salvador,21040
slovenia,20253
fiji,18270
kuwait,17820
swaziland,17363
east timor,14874
bahamas,13940
montenegro,13812
vanuatu,12200
qatar,11437
the gambia,11300
jamaica,10990
lebanon,10452
cyprus,9250
brunei,5770
trinidad and tobago,5128
cape verde,4033
samoa,2860
luxembourg,2586
comoros,2170
mauritius,1860
sao tome and principe,1001
dominica,754
tonga,748
kiribati,717
micronesia,702
singapore,692.7
bahrain,665
saint lucia,620
seychelles,455
andorra,468
palau,458
antigua and barbuda,442
barbados,430
saint vincent and the grenadines,389
grenada,340
malta,316
maldives,300
saint kitts and nevis,261
marshall islands,181
liechtenstein,160
san marino,61.2
tuvalu,26
nauru,21
monaco,1.95
vatican city,0.44